Mine Density,Average Final Score
0.01,1.0
0.02,1.0
0.03,1.0
0.04,0.99
0.05,0.98
0.060000000000000005,0.9933333333333333
0.07,0.9794117647058823
0.08,0.9871794871794872
0.09,0.9863636363636363
0.09999999999999999,0.9795918367346939
0.10999999999999999,0.9777777777777777
0.11999999999999998,0.976271186440678
0.12999999999999998,0.9825396825396825
0.13999999999999999,0.9779411764705882
0.15,0.9684931506849315
0.16,0.9769230769230769
0.17,0.9795180722891567
0.18000000000000002,0.9840909090909091
0.19000000000000003,0.9804347826086957
0.20000000000000004,0.979381443298969
0.21000000000000005,0.9852941176470589
0.22000000000000006,0.9803738317757009
0.23000000000000007,0.9839285714285714
0.24000000000000007,0.9871794871794872
0.25000000000000006,0.9795081967213115
0.26000000000000006,0.9825396825396825
0.2700000000000001,0.9809160305343512
0.2800000000000001,0.986764705882353
0.2900000000000001,0.9808510638297873
0.3000000000000001,0.9808219178082191
0.3100000000000001,0.980794701986755
0.3200000000000001,0.9774193548387097
0.3300000000000001,0.9875
0.34000000000000014,0.983030303030303
0.35000000000000014,0.9823529411764705
0.36000000000000015,0.9811428571428571
0.37000000000000016,0.9855555555555555
0.38000000000000017,0.9831521739130434
0.3900000000000002,0.9830687830687831
0.4000000000000002,0.9819587628865979
0.4100000000000002,0.9834170854271357
0.4200000000000002,0.984313725490196
0.4300000000000002,0.9732057416267943
0.4400000000000002,0.9826291079812206
0.45000000000000023,0.9821100917431193
0.46000000000000024,0.9820627802690582
0.47000000000000025,0.9789473684210527
0.48000000000000026,0.9755364806866953
0.49000000000000027,0.9743697478991596
0.5000000000000002,0.9748971193415638
0.5100000000000002,0.9720647773279352
0.5200000000000002,0.9833333333333333
0.5300000000000002,0.9809338521400778
0.5400000000000003,0.9763358778625955
0.5500000000000003,0.9730337078651685
0.5600000000000003,0.9705882352941176
0.5700000000000003,0.9760869565217392
0.5800000000000003,0.9729537366548042
0.5900000000000003,0.9744755244755244
0.6000000000000003,0.9742268041237113
0.6100000000000003,0.9760135135135135
0.6200000000000003,0.9700996677740864
0.6300000000000003,0.9750819672131148
0.6400000000000003,0.9703225806451613
0.6500000000000004,0.9704761904761905
0.6600000000000004,0.9690625
0.6700000000000004,0.9701538461538461
0.6800000000000004,0.9715151515151516
0.6900000000000004,0.9676646706586827
0.7000000000000004,0.9657817109144543
0.7100000000000004,0.9625
0.7200000000000004,0.9636103151862464
0.7300000000000004,0.9556497175141243
0.7400000000000004,0.9540389972144847
0.7500000000000004,0.953021978021978
0.7600000000000005,0.9576086956521739
0.7700000000000005,0.9517426273458445
0.7800000000000005,0.9476190476190476
0.7900000000000005,0.9454308093994778
0.8000000000000005,0.9394329896907216
0.8100000000000005,0.9424936386768448
0.8200000000000005,0.9408060453400504
0.8300000000000005,0.9273631840796019
0.8400000000000005,0.9336609336609336
0.8500000000000005,0.9201456310679612
0.8600000000000005,0.928537170263789
0.8700000000000006,0.9049763033175355
0.8800000000000006,0.902112676056338
0.8900000000000006,0.8965197215777262
0.9000000000000006,0.8974770642201835
0.9100000000000006,0.8845804988662131
0.9200000000000006,0.8809417040358745
0.9300000000000006,0.870509977827051
0.9400000000000006,0.8665934065934066
0.9500000000000006,0.8519565217391304
0.9600000000000006,0.8432258064516129
0.9700000000000006,0.8359574468085106
0.9800000000000006,0.8237894736842105
